title|sub_category-name|company-name|description|personal_or_group|is_allowed_one_day|price_of_one_day|count_of_week|count_of_month|price_of_month|preparation|maximum_number_of_enrollment|curriculum_in_first_week|curriculum_in_second_week|curriculum_in_third_week|curriculum_in_fourth_week|curriculum_in_fifth_week|dayOfWeek|startTime|duration
춤의 기본기부터 차근차근|kpop|이지댄스 강남점|춤의 기본기(아이솔레이션,바운스,웨이브,스텝)를 체계적으로 배우고 익혀 춤을 출수 있는 능력을 길러주고 기본기를 응용한 안무를 배웁니다. 주말 반의 경우 평일반보다 소수정예로 진행되기 때문에 개인 지도가 원활하다는 장점이 있습니다. 이를 통해 기초를 확실히 잡으실 수 있습니다.|group|FALSE|35000|1|4|120000|댄스화 별도 구매(5만원),트레이닝복|20|아이솔레이션-머리,가슴,골반 부위별로  움직임을 통한 롤링|바운스-업다운 리듬 업,다운 리듬을 타며 몸에 리듬을 익힘|웨이브-바디,사이드,암 웨이브를 순서대로 체계적으로 배워 안무에 응용할수 있도록 자연스러운 웨이브를 가르침|스텝-하우스,힙합 등 기본 스텝을 배우고 노래에 맞춰 완성시킴|기본기 응용한 안무 배우기|Sat|11:00:00|1:30:00
클럽댄스 연습에서 실전까지|dance_etc|이지댄스 강남점|"요즘 클럽에서 유행하고 있는 댄스를 기본기와 함께 배워봅니다. 직접 클럽을 가보는 실전 클래스!!!
10~15분 스트레칭 근력운동,20~30분 기본기 춤에 대한 기본기,45~60분 안무 배우기
주말 반의 경우 평일반보다 소수정예로 진행되기 때문에 개인 지도가 원활하다는 장점이 있습니다. 이를 통해 기초를 확실히 잡으실 수 있습니다."|group|FALSE|35000|1|4|120000|댄스화 별도 구매(5만원),트레이닝복|20|기본 리듬,바운스 배우기(아이솔레이션,업,다운,웨이브)|기본 스텝 배우기(셔플,크록하)|"외국에서 유행하는 클럽댄스 동작""더기"" 배우기"|기본기를 응용한 안무배우기 |클럽실전겪기|Sat|16:00:00|1:30:00
왁킹 기본기|dance_etc|이지댄스 강남점|스트릿댄스의 장르 중 하나인 수업입니다. 걸스느낌으로 팔을 쓰는 방법을 많이 배우실 수 있습니다. 주말 반의 경우 평일반보다 소수정예로 진행되기 때문에 개인 지도가 원활하다는 장점이 있습니다. 이를 통해 기초를 확실히 잡으실 수 있습니다.|group|FALSE|35000|1|4|120000|댄스화 별도 구매(5만원),트레이닝복|20|왁킹에대한 설명과 기본동작 수업(투얼,익스텐션)|왁킹에 필요한 동작(왁,포즈,펑킹)배우기|왁킹안의 소울이란 장르 배우기|소울,왁,투얼 기본동작 연결하여 순서 익히기|기본 동작을 응용한 안무 배우기|Sat|16:00:00|1:30:00
씨어터 재즈 기초 배우기|jazz_dance|이지댄스 강남점|재즈댄스의 장르중 하나로 뮤지컬 재즈댄스입니다. 뮤지컬 음악에 맞춰 신나는 댄스를 배울수 있습니다. 주말 반의 경우 평일반보다 소수정예로 진행되기 때문에 개인 지도가 원활하다는 장점이 있습니다. 이를 통해 기초를 확실히 잡으실 수 있습니다.|group|FALSE|35000|1|4|120000|댄스화 별도 구매(5만원),트레이닝복|20|기본 리듬,바운스 배우기(아이솔레이션,스트레칭)|스탠딩 워밍업을 통하여 전신 근육을탄력있게 만들어주는 현대무용 기본동작을 배움|스텝 점프,턴,킥의 기본을 배우고 반복하여 연습한다.|기본기를 응용하여서 안무에 배우고 음악에 맞춰 실습||Sat|11:00:00|1:30:00
모던 재즈 댄스 기초 배우기|jazz_dance|이지댄스 강남점|풍부한 감정표현과 유연성,리듬감,춤의 다양성을 배울수 있습니다. 현대무옹의 기본동작을 연습하여 몸의 신전성과 수축성을 고루 단련할 수 있고 아름다운 바디라인을 갖게 될 수 있습니다. 주말 반의 경우 평일반보다 소수정예로 진행되기 때문에 개인 지도가 원활하다는 장점이 있습니다. 이를 통해 기초를 확실히 잡으실 수 있습니다.|group|FALSE|35000|1|4|120000|댄스화 별도 구매(5만원),트레이닝복|20|플로워 워밍업을 통한 스트래칭과 기본체력 증강|스탠딩 워밍업을 통하여 전신 근육을탄력있게 만들어주는 현대무용 기본동작을 배움|스텝 점프,턴,킥의 기본을 배우고 반복하여 연습한다.|기본기를 응용하여서 안무에 배우고 음악에 맞춰 실습||Sat|14:00:00|1:30:00
팝핀 기본기 부터 배우기|dance_etc|이지댄스 강남점| Poppin의 기본적인 파운데이션,동작을 배우실 수 있습니다. 수강생 모두가 Free Style을 할 수 있는 것을 목표로 합니다. 주말 반의 경우 평일반보다 소수정예로 진행되기 때문에 개인 지도가 원활하다는 장점이 있습니다. 이를 통해 기초를 확실히 잡으실 수 있습니다.|group|FALSE|35000|1|4|120000|댄스화 별도 구매(5만원),트레이닝복|20|스트레칭과 팝핀의 기본이 되는 팝을 주는 방법을 배움|팝핀 기본동작들을 습득하고 연습한다.|기본 동작들을 응용한 루틴 배우기|음악에 맞춰서 배우는 루틴을 반복하고 어려운부분들 다시 복습||Sun|17:00:00|1:30:00
최신 방송댄스를 포인트 레슨으로!|kpop|이지댄스 강남점|최신 방송댄스의 포인트적인 안무를 집중적로 배웁니다. 매주 최신 KPOP 1곡의 후렴부분/후크 부분을 배우실 수 있습니다. 주말 반의 경우 평일반보다 소수정예로 진행되기 때문에 개인 지도가 원활하다는 장점이 있습니다. 이를 통해 기초를 확실히 잡으실 수 있습니다.|group|FALSE|35000|1|4|120000|댄스화 별도 구매(5만원),트레이닝복|20|스트레칭과 춤의 기본기 배우기|아이솔레이션 업다운 리듬등 안무에 들어가는 기본 바운스 배우기|기본기 동작을 통해 응용안무 배우기|방송댄스 포인트 안무 배우기||Sat|14:00:00|1:30:00
여성스러운 느낌의 섹시 걸스 힙합|girls_hiphop|이지댄스 강남점|여성스러운 걸스 느낌의 동작과 안무를 배우실 수 있습니다. 주말 반의 경우 평일반보다 소수정예로 진행되기 때문에 개인 지도가 원활하다는 장점이 있습니다. 이를 통해 기초를 확실히 잡으실 수 있습니다.|group|FALSE|35000|1|4|120000|댄스화 별도 구매(5만원),트레이닝복|16|스트레칭 및 기본 유연성 기르기|웨이브(바디,사이드,암)를 체계적으로 배운다.|기본리듬 아이솔레이션엔 롤링 배우기|기본기 응용하여 루틴 배우기||Sun|15:00:00|1:30:00
점심시간을 활용한 최신 K-POP댄스배우기|kpop|워너비댄스아카데미|트렌드한 음악에 맞춘 K-POP 또는 POP안무 포인트 마스터하기|group|FALSE|10000|2|8|130000|운동복,실내용 운동화|15|전효성(시크릿)-Good night kiss|전효성(시크릿)-Good night kiss|전효성(시크릿)-Good night kiss|전효성(시크릿)-Good night kiss||Mon,Wed|12:00:00,12:00:00|1:00:00
직장인들의 일탈 댄스타임|kpop|워너비댄스아카데미|클럽댄스,나이트댄스,힙합댄스,걸스힙합등 다양한 댄스를 K-POP음악에 맞춰 배워보고 스트레스 날리기.|group|FALSE|10000|2|8|130000|운동복,실내용 운동화|15|빠른 리듬에 대한 이해|그루브한 힙합리듬과 롤에 대한 이해|여성적인 힙합 느낌 (체스트 업다운 바운스 등) 이해|포인트 부분에 나오는 다양한 스텝과 골반&백 웨이브 마스터하기||Mon,Wed|20:00:00,20:00:00|1:00:00
